ID,Probe_Id,Definition,Ontology_Component,Ontology_Process,Ontology_Function,Chromosome,Probe_Coordinates,Cytoband,Probe_Chr_Orientation,RefSeq_ID,Entrez_Gene_ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
NSUN5,ILMN_1751958,"Homo sapiens NOL1/NOP2/Sun domain family, member 5 (NSUN5), transcript variant 1, mRNA.",,,,7,72355419-72355462:72355533-72355538,7q11.23a,-,NM_148956.1,55695,NSUN5,1.057386487350934,7.578160501853494,14.028868759862895,5.645157874158137e-27,1.8580388712495153e-25,50.69285330135422
CCNA2,ILMN_1786125,"Homo sapiens cyclin A2 (CCNA2), mRNA.",nucleus [goid 5634] [evidence IEA],mitotic G2 checkpoint [goid 7095] [pmid 1312467] [evidence TAS]; mitosis [goid 7067] [evidence IEA]; cell cycle [goid 7049] [evidence IEA]; cell division [goid 51301] [evidence IEA],protein binding [goid 5515] [pmid 7630397] [evidence IPI],4,122958685-122958734,4q27c,-,NM_001237.2,890,CCNA2,1.6968385850450964,6.345784333250121,14.024671697217974,5.772368549979051e-27,1.8967049105622563e-25,50.67063424516908
PTGDS,ILMN_1664464,"Homo sapiens prostaglandin D2 synthase 21kDa (brain) (PTGDS), mRNA.",membrane [goid 16020] [evidence IEA]; Golgi apparatus [goid 5794] [evidence ISS]; nucleus [goid 5634] [evidence IEA]; rough endoplasmic reticulum [goid 5791] [pmid 9065498] [evidence IDA]; extracellular region [goid 5576] [pmid 7692978] [evidence IDA],"lipid metabolism [goid 6629] [evidence IEA]; regulation of circadian sleep/wake cycle, sleep [goid 45187] [evidence ISS]; prostaglandin biosynthesis [goid 1516] [evidence ISS]; transport [goid 6810] [evidence ISS]; fatty acid biosynthesis [goid 6633] [evidence IEA]",binding [goid 5488] [evidence IEA]; isomerase activity [goid 16853] [evidence IEA]; prostaglandin-D synthase activity [goid 4667] [evidence ISS]; transporter activity [goid 5215] [evidence ISS]; retinoid binding [goid 5501] [evidence ISS],9,138994544-138994557:138995106-138995128:138995852-138995864,9q34.3e,+,NM_000954.5,5730,PTGDS,-2.457137337272977,11.448804238865497,-14.017484838203904,5.9969147237755474e-27,1.967169754086979e-25,50.63258341627758
WNT2,ILMN_1694011,"Homo sapiens wingless-type MMTV integration site family member 2 (WNT2), mRNA.",extracellular region [goid 5576] [pmid 2971536] [evidence NAS],development [goid 7275] [evidence NAS]; frizzled-2 signaling pathway [goid 7223] [evidence IEA],extracellular matrix structural constituent [goid 5201] [evidence NAS]; signal transducer activity [goid 4871] [evidence IEA],7,116704775-116704824,7q31.2c,-,NM_003391.1,7472,WNT2,-1.5126155584070151,7.076641929226191,-14.007564792664356,6.3213282867130936e-27,2.0701022128841113e-25,50.58005359155835
SHMT2,ILMN_1661264,"Homo sapiens serine hydroxymethyltransferase 2 (mitochondrial) (SHMT2), mRNA.",mitochondrion [goid 5739] [pmid 8505317] [evidence TAS],one-carbon compound metabolism [goid 6730] [evidence IEA]; L-serine metabolism [goid 6563] [evidence IEA]; glycine metabolism [goid 6544] [evidence IEA],transferase activity [goid 16740] [evidence IEA]; glycine hydroxymethyltransferase activity [goid 4372] [evidence IEA],12,55914669-55914718,12q13.3b,+,NM_005412.4,6472,SHMT2,1.1237025311725777,11.110755874398581,14.00117386179733,6.53959939608952e-27,2.1379881582685283e-25,50.54620656951285
RGS17,ILMN_1725485,"Homo sapiens regulator of G-protein signalling 17 (RGS17), mRNA.",membrane [goid 16020] [evidence IEA],negative regulation of signal transduction [goid 9968] [evidence IEA],signal transducer activity [goid 4871] [evidence IEA],6,153373768-153373817,6q25.2a,-,NM_012419.4,26575,RGS17,2.7210456832993737,6.772121652060364,13.999982263389521,6.581125175666289e-27,2.1479602018066604e-25,50.53989531050434
PSAT1,ILMN_1692938,"Homo sapiens phosphoserine aminotransferase 1 (PSAT1), transcript variant 2, mRNA.",,metabolism [goid 8152] [evidence IEA]; amino acid biosynthesis [goid 8652] [evidence IEA]; L-serine biosynthesis [goid 6564] [pmid 10637769] [evidence NAS]; pyridoxine biosynthesis [goid 8615] [pmid 10637769] [evidence NAS],transferase activity [goid 16740] [evidence IEA]; phosphoserine transaminase activity [goid 4648] [pmid 10637769] [evidence NAS],9,80134501-80134550,9q21.2c,+,NM_021154.3,29968,PSAT1,2.1628161680484395,7.007832013026253,13.988300602456116,7.002494664308636e-27,2.281665694549394e-25,50.478016618951536
ENTPD5,ILMN_1745849,"Homo sapiens ectonucleoside triphosphate diphosphohydrolase 5 (ENTPD5), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; endoplasmic reticulum [goid 5783] [evidence IEA],,hydrolase activity [goid 16787] [evidence IEA]; magnesium ion binding [goid 287] [evidence IEA]; nucleoside-diphosphatase activity [goid 17110] [evidence IEA]; calcium ion binding [goid 5509] [evidence IEA],14,73503185-73503234,14q24.3a,-,NM_001249.1,957,ENTPD5,1.5407956535361942,6.359229557489535,13.986923698162471,7.053912046963737e-27,2.294582240986451e-25,50.47072218843763
IBRDC2,ILMN_1752526,"Homo sapiens IBR domain containing 2 (IBRDC2), mRNA.",ubiquitin ligase complex [goid 151] [pmid 12853982] [evidence IC ]; integral to membrane [goid 16021] [evidence ISS]; membrane [goid 16020] [evidence IEA],protein ubiquitination during ubiquitin-dependent protein catabolism [goid 42787] [pmid 12853982] [evidence IDA]; electron transport [goid 6118] [evidence IEA]; ubiquitin cycle [goid 6512] [evidence IEA],metal ion binding [goid 46872] [evidence IEA]; protein binding [goid 5515] [pmid 12853982] [evidence IPI]; iron ion binding [goid 5506] [evidence IEA]; ubiquitin-protein ligase activity [goid 4842] [pmid 12853982] [evidence IDA]; electron transporter activity [goid 5489] [evidence IEA]; zinc ion binding [goid 8270] [evidence IEA]; ligase activity [goid 16874] [evidence IEA],6,18576211-18576260,6p22.3d,+,NM_182757.2,255488,IBRDC2,-1.717977381399308,8.93026806001197,-13.98386320475167,7.169560233355745e-27,2.328314685782278e-25,50.45450795444645
AGRP,ILMN_1714253,"Homo sapiens agouti related protein homolog (mouse) (AGRP), transcript variant 2, mRNA.",extracellular region [goid 5576] [evidence IEA],neuropeptide signaling pathway [goid 7218] [pmid 9311920] [evidence TAS]; feeding behavior [goid 7631] [pmid 9751529] [evidence TAS]; hormone-mediated signaling [goid 9755] [evidence IEA],neuropeptide hormone activity [goid 5184] [pmid 9311920] [evidence TAS]; receptor binding [goid 5102] [pmid 10318826] [evidence TAS],16,66074070-66074119,16q22.1b,-,NM_007316.1,181,AGRP,-1.6056607943124463,6.3140921291011916,-13.981429317627253,7.262887236862618e-27,2.354698133282331e-25,50.44161278974993
C16orf30,ILMN_1751559,"Homo sapiens chromosome 16 open reading frame 30 (C16orf30), mRNA.",integral to membrane [goid 16021] [evidence IEA],,,16,1545239-1545288,16p13.3e,+,NM_024600.1,79652,C16orf30,-1.7669266638283627,8.990217077671469,-13.971224873188032,7.667631333570692e-27,2.481790640110049e-25,50.38754169451004
KIAA0672,ILMN_2065022,"Homo sapiens KIAA0672 gene product (KIAA0672), mRNA.",intracellular [goid 5622] [evidence IEA]; cytoplasm [goid 5737] [evidence IEA],signal transduction [goid 7165] [evidence IEA],protein binding [goid 5515] [evidence IEA],17,12835495-12835544,17p12c,+,NM_014859.3,9912,KIAA0672,-1.8464706169174754,9.33221512517285,-13.967297495717315,7.829369591400042e-27,2.5299380843852376e-25,50.366728748624034
C16orf9,ILMN_1810055,"Homo sapiens integrin alpha FG-GAP repeat containing 3 (ITFG3), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,,16,255781-255830,16p13.3f,+,NM_032039.1,83986,C16orf9,1.2348329517608239,10.507785753264264,13.966080624533076,7.880174432655446e-27,2.5379371705833284e-25,50.36027970138809
CEECAM1,ILMN_1750563,"Homo sapiens cerebral endothelial cell adhesion molecule 1 (CEECAM1), mRNA.",plasma membrane [goid 5886] [pmid 10608765] [evidence NAS]; integral to membrane [goid 16021] [evidence NR ]; membrane fraction [goid 5624] [evidence NR ],cell motility [goid 6928] [pmid 10608765] [evidence TAS]; lipopolysaccharide biosynthesis [goid 9103] [evidence IEA]; leukocyte adhesion [goid 7159] [pmid 10608765] [evidence TAS]; cell adhesion [goid 7155] [pmid 10608765] [evidence IDA],"procollagen-lysine 5-dioxygenase activity [goid 8475] [evidence IEA]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [goid 16702] [evidence IEA]",9,130239121-130239170,9q34.11b,+,NM_016174.3,51148,CEECAM1,2.0458235247190952,7.52465379312264,13.962896226660204,8.014695290410747e-27,2.5770022728325646e-25,50.3434026950902
BYSL,ILMN_1682792,"Homo sapiens bystin-like (BYSL), mRNA.",cytoplasm [goid 5737] [pmid 9560222] [evidence TAS],pregnancy [goid 7565] [pmid 9560222] [evidence TAS]; cell adhesion [goid 7155] [pmid 9560222] [evidence TAS],protein binding [goid 5515] [evidence IEA],6,42008511-42008560,6p21.1f,+,NM_004053.3,705,BYSL,1.256980388555676,8.402697247351892,13.947488474529074,8.698848973862291e-27,2.7832031569081566e-25,50.26172947778682
MGC4172,ILMN_1756701,"Homo sapiens short-chain dehydrogenase/reductase (MGC4172), mRNA.",,metabolism [goid 8152] [evidence IEA],oxidoreductase activity [goid 16491] [evidence IEA],17,32031237-32031286,17q12b,+,NM_024308.2,79154,MGC4172,1.4400361422253,8.103128029491815,13.94638196138445,8.750179983879761e-27,2.7950369997688055e-25,50.25586322081099
LRRC45,ILMN_1742507,"PREDICTED: Homo sapiens leucine rich repeat containing 45 (LRRC45), mRNA.",,,,,,17q25.3g,,XM_938258.1,201255,LRRC45,1.4129363836224496,6.931718111384573,13.935035719302316,9.2943928532309e-27,2.9640138256170884e-25,50.19570363790152
NPNT,ILMN_1735762,"Homo sapiens nephronectin (NPNT), mRNA.",membrane [goid 16020] [evidence IEA],,calcium ion binding [goid 5509] [evidence IEA],4,107111934-107111983,4q24e,+,NM_001033047.1,255743,NPNT,-2.0929362862486034,7.79305205964575,-13.925231057060468,9.791948119351303e-27,3.117583482116996e-25,50.14370795812159
PIAS3,ILMN_1814966,"Homo sapiens protein inhibitor of activated STAT, 3 (PIAS3), mRNA.",nucleus [goid 5634] [evidence IEA],"regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; ubiquitin cycle [goid 6512] [evidence IEA]; transcription [goid 6350] [evidence IEA]",metal ion binding [goid 46872] [evidence IEA]; transcription corepressor activity [goid 3714] [evidence NR ]; zinc ion binding [goid 8270] [evidence IEA]; DNA binding [goid 3677] [evidence IEA],1,144297547-144297596,1q21.1b,+,NM_006099.2,10401,PIAS3,1.0733779351224513,7.536745318395559,13.92154521977333,9.985829774810264e-27,3.1741255001986625e-25,50.124159032235625
TSPAN4,ILMN_1718607,"Homo sapiens tetraspanin 4 (TSPAN4), transcript variant 3, mRNA.",plasma membrane [goid 5886] [pmid 9360996] [evidence TAS]; integral to plasma membrane [goid 5887] [pmid 9360996] [evidence TAS]; integral to membrane [goid 16021] [evidence IEA],protein complex assembly [goid 6461] [pmid 9360996] [evidence TAS],,11,857045-857094,11p15.5c,+,NM_001025235.1,7106,TSPAN4,-1.0122595525423872,8.856647636760025,-13.916188358058308,1.0274498468005067e-26,3.260563561059914e-25,50.095745052513735
SOCS2,ILMN_1798926,"Homo sapiens suppressor of cytokine signaling 2 (SOCS2), mRNA.",cytoplasm [goid 5737] [pmid 9727029] [evidence NAS]; cytoplasm [goid 5737] [pmid 9727029] [evidence NAS],JAK-STAT cascade [goid 7259] [pmid 9266833] [evidence TAS]; intracellular signaling cascade [goid 7242] [evidence IEA]; negative regulation of signal transduction [goid 9968] [evidence IEA]; anti-apoptosis [goid 6916] [pmid 9266833] [evidence TAS]; regulation of cell growth [goid 1558] [pmid 9727029] [evidence NAS]; JAK-STAT cascade [goid 7259] [pmid 9266833] [evidence TAS]; intracellular signaling cascade [goid 7242] [evidence IEA]; negative regulation of signal transduction [goid 9968] [evidence IEA]; anti-apoptosis [goid 6916] [pmid 9266833] [evidence TAS]; regulation of cell growth [goid 1558] [pmid 9727029] [evidence NAS],insulin-like growth factor receptor binding [goid 5159] [pmid 9727029] [evidence IPI]; JAK pathway signal transduction adaptor activity [goid 8269] [pmid 9266833] [evidence TAS]; SH3/SH2 adaptor activity [goid 5070] [pmid 9344848] [evidence TAS]; growth hormone receptor binding [goid 5131] [pmid 12135564] [evidence NAS]; prolactin receptor binding [goid 5148] [evidence NAS]; protein binding [goid 5515] [pmid 11781573] [evidence IPI]; insulin-like growth factor receptor binding [goid 5159] [pmid 9727029] [evidence IPI]; JAK pathway signal transduction adaptor activity [goid 8269] [pmid 9266833] [evidence TAS]; SH3/SH2 adaptor activity [goid 5070] [pmid 9344848] [evidence TAS]; growth hormone receptor binding [goid 5131] [pmid 12135564] [evidence NAS]; prolactin receptor binding [goid 5148] [evidence NAS]; protein binding [goid 5515] [pmid 11781573] [evidence IPI],12,92493453-92493502,12q22b,+,NM_003877.3,8835,SOCS2,-2.259981577953316,8.914914475601616,-13.905030585248518,1.0902932364356717e-26,3.4543680832437503e-25,50.03655308500782
MCM4,ILMN_1737205,"Homo sapiens MCM4 minichromosome maintenance deficient 4 (S. cerevisiae) (MCM4), transcript variant 1, mRNA.",nucleus [goid 5634] [pmid 8265339] [evidence NAS],"regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; transcription [goid 6350] [evidence IEA]; DNA replication initiation [goid 6270] [evidence IEA]; DNA replication [goid 6260] [pmid 9465298] [evidence NAS]",nucleotide binding [goid 166] [evidence IEA]; DNA-dependent ATPase activity [goid 8094] [evidence IEA]; protein binding [goid 5515] [pmid 15232106] [evidence IPI]; DNA binding [goid 3677] [evidence IEA]; ATP binding [goid 5524] [evidence NAS],8,49051904-49051953,8q11.21b,+,NM_005914.2,4173,MCM4,1.579406557763038,8.132992413016373,13.881590087706133,1.2351647457358796e-26,3.907010563419418e-25,49.912163211211315
PADI4,ILMN_1807529,"Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA.",nucleus [goid 5634] [evidence IEA],"chromatin modification [goid 16568] [evidence IEA]; transcription [goid 6350] [evidence IEA]; regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; protein modification [goid 6464] [pmid 10488123] [evidence TAS]",protein-arginine deiminase activity [goid 4668] [pmid 10488123] [evidence TAS]; hydrolase activity [goid 16787] [evidence IEA]; calcium ion binding [goid 5509] [evidence IEA],1,17562982-17563031,1p36.13d,+,NM_012387.1,23569,PADI4,-2.115725230526621,6.061012940153237,-13.879300782822094,1.2503100343660726e-26,3.9485074586098743e-25,49.90001197561166
SRD5A1,ILMN_1793241,"Homo sapiens steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) (SRD5A1), mRNA.",microsome [goid 5792] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; endoplasmic reticulum [goid 5783] [evidence IEA],cell-cell signaling [goid 7267] [evidence NR ]; sex differentiation [goid 7548] [evidence IEA]; sex determination [goid 7530] [pmid 1686016] [evidence NAS],3-oxo-5-alpha-steroid 4-dehydrogenase activity [goid 3865] [evidence IEA]; electron transporter activity [goid 5489] [pmid 1686016] [evidence TAS]; oxidoreductase activity [goid 16491] [evidence IEA],5,6722048-6722097,5p15.31c,+,NM_001047.1,6715,SRD5A1,1.4888459054896295,6.927175589439793,13.87597156269312,1.2726682049369173e-26,4.012611646148193e-25,49.882340174813045
SOX18,ILMN_1812968,"Homo sapiens SRY (sex determining region Y)-box 18 (SOX18), mRNA.",nucleus [goid 5634] [evidence IEA],transcription [goid 6350] [evidence IEA]; regulation of transcription from RNA polymerase II promoter [goid 6357] [pmid 10807548] [evidence TAS],RNA polymerase II transcription factor activity [goid 3702] [pmid 10807548] [evidence TAS]; DNA binding [goid 3677] [evidence IEA],20,62149664-62149713,20q13.33e,-,NM_018419.2,54345,SOX18,-2.722916728531864,10.680727678026372,-13.871821307982122,1.3011028265846896e-26,4.091504559187859e-25,49.8603087982443
MSR1,ILMN_1694400,"Homo sapiens macrophage scavenger receptor 1 (MSR1), transcript variant SR-AI, mRNA.",membrane [goid 16020] [evidence IEA]; integral to plasma membrane [goid 5887] [pmid 8093617] [evidence TAS]; cytoplasm [goid 5737] [evidence IEA],phosphate transport [goid 6817] [evidence IEA]; receptor mediated endocytosis [goid 6898] [pmid 2251254] [evidence TAS],scavenger receptor activity [goid 5044] [pmid 2251254] [evidence TAS]; receptor activity [goid 4872] [evidence IEA]; lipid transporter activity [goid 5319] [evidence IEA],8,16022341-16022390,8p22c,-,NM_138715.1,4481,MSR1,-1.709920027626187,6.467732878161635,-13.87170770065886,1.3018900829851028e-26,4.091504559187859e-25,49.85970569800931
KIAA1754,ILMN_1805192,"Homo sapiens KIAA1754 (KIAA1754), mRNA.",,,,10,106062072-106062121,10q25.1a,-,NM_033397.2,85450,KIAA1754,-1.3068138883845712,9.509350677932499,-13.864838081875646,1.3503930040064668e-26,4.237102686484059e-25,49.82323513541251
TMEM16J,ILMN_1762629,"Homo sapiens transmembrane protein 16J (TMEM16J), mRNA.",,,,11,408229-408278,11p15.5d,-,NM_001012302.1,338440,TMEM16J,1.4452486695351654,6.853004400488775,13.856282891426499,1.4133398220813581e-26,4.427480133963869e-25,49.77780978153588
KNTC1,ILMN_1732516,"Homo sapiens kinetochore associated 1 (KNTC1), mRNA.",spindle pole [goid 922] [pmid 11146660] [evidence IDA]; nucleus [goid 5634] [pmid 11146660] [evidence NAS]; kinetochore microtubule [goid 5828] [pmid 11146660] [evidence IDA],"mitotic checkpoint [goid 7093] [pmid 11146660] [evidence IDA]; regulation of exit from mitosis [goid 7096] [pmid 11146660] [evidence NAS]; mitosis [goid 7067] [evidence IEA]; regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; cell cycle [goid 7049] [evidence IEA]; cell division [goid 51301] [evidence IEA]; protein complex assembly [goid 6461] [pmid 11146660] [evidence NAS]",sequence-specific DNA binding [goid 43565] [evidence IEA]; protein dimerization activity [goid 46983] [evidence IEA]; transcription factor activity [goid 3700] [evidence IEA],12,121675137-121675186,12q24.31c,+,NM_014708.3,9735,KNTC1,1.5617667861697226,7.839652589449098,13.850713524817643,1.4558915267571882e-26,4.548265546394061e-25,49.74823454560119
CYP4B1,ILMN_1659215,"Homo sapiens cytochrome P450, family 4, subfamily B, polypeptide 1 (CYP4B1), mRNA.",membrane [goid 16020] [evidence IEA]; microsome [goid 5792] [evidence IEA]; endoplasmic reticulum [goid 5783] [evidence IEA],electron transport [goid 6118] [evidence IEA],metal ion binding [goid 46872] [evidence IEA]; heme binding [goid 20037] [evidence IEA]; unspecific monooxygenase activity [goid 50381] [evidence IEA]; oxygen binding [goid 19825] [pmid 2574990] [evidence TAS]; monooxygenase activity [goid 4497] [evidence IEA]; iron ion binding [goid 5506] [evidence IEA],1,47056997-47057046,1p33d,+,NM_000779.2,1580,CYP4B1,-3.456058941858494,9.640399030640822,-13.84712694880663,1.4839721404911076e-26,4.6264315451950765e-25,49.72918707708118
SGPL1,ILMN_1761531,"Homo sapiens sphingosine-1-phosphate lyase 1 (SGPL1), mRNA.",integral to membrane [goid 16021] [evidence IEA]; membrane [goid 16020] [evidence IEA]; endoplasmic reticulum [goid 5783] [evidence IEA]; integral to endoplasmic reticulum membrane [goid 30176] [pmid 11018465] [evidence NAS],apoptosis [goid 6915] [pmid 14570870] [evidence IDA]; sphingolipid catabolism [goid 30149] [pmid 11018465] [evidence NAS]; ceramide metabolism [goid 6672] [pmid 14570870] [evidence IDA]; lipid metabolism [goid 6629] [evidence IEA]; carboxylic acid metabolism [goid 19752] [evidence IEA],sphinganine-1-phosphate aldolase activity [goid 8117] [pmid 11018465] [evidence NAS]; lyase activity [goid 16829] [evidence IEA]; carboxy-lyase activity [goid 16831] [evidence IEA],10,72309382-72309431,10q22.1c,+,NM_003901.2,8879,SGPL1,1.3896411269867137,7.620936942523952,13.838346348102998,1.5550340081466202e-26,4.835029180448621e-25,49.68255031206415
CPB2,ILMN_1744806,"Homo sapiens carboxypeptidase B2 (plasma, carboxypeptidase U) (CPB2), transcript variant 1, mRNA.",,,metal ion binding [goid 46872] [evidence IEA]; carboxypeptidase A activity [goid 4182] [evidence IEA]; zinc ion binding [goid 8270] [evidence IEA]; metallopeptidase activity [goid 8237] [evidence IEA]; carboxypeptidase activity [goid 4180] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; carboxypeptidase A activity [goid 4182] [evidence IEA]; zinc ion binding [goid 8270] [evidence IEA]; metallopeptidase activity [goid 8237] [evidence IEA]; carboxypeptidase activity [goid 4180] [evidence IEA],13,45525386-45525435,13q14.12b,-,NM_001872.2,1361,CPB2,-3.025773533409433,6.984286879191454,-13.83824852289818,1.555844647750211e-26,4.835029180448621e-25,49.682030688735445
PYGO2,ILMN_1695334,"Homo sapiens pygopus homolog 2 (Drosophila) (PYGO2), mRNA.",nucleus [goid 5634] [evidence IEA],"regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; Wnt receptor signaling pathway [goid 16055] [evidence IEA]",metal ion binding [goid 46872] [evidence IEA]; zinc ion binding [goid 8270] [evidence IEA]; protein binding [goid 5515] [evidence IEA],1,153196432-153196481,1q21.3e,-,NM_138300.3,90780,PYGO2,1.6929225978355307,7.251435909281607,13.820042400966926,1.7143387597554236e-26,5.319090881183827e-25,49.585308829581315
C6orf105,ILMN_2078592,"Homo sapiens chromosome 6 open reading frame 105 (C6orf105), mRNA.",integral to membrane [goid 16021] [evidence IEA]; membrane [goid 16020] [evidence IEA],,,6,11831673-11831719:11843787-11843789,6p24.1c,-,NM_032744.1,84830,C6orf105,-2.243160184635614,6.5046980748029455,-13.819655237628837,1.7178795805695695e-26,5.321603120413047e-25,49.58325165227033
C17orf53,ILMN_1776490,"Homo sapiens chromosome 17 open reading frame 53 (C17orf53), mRNA.",,,,17,39595293-39595342,17q21.31c,+,NM_024032.2,78995,C17orf53,1.8196535817103197,6.900308463881217,13.802019282358684,1.887195297720779e-26,5.836825456522123e-25,49.48952902184158
PAK6,ILMN_1708223,"Homo sapiens p21(CDKN1A)-activated kinase 6 (PAK6), mRNA.",,protein amino acid phosphorylation [goid 6468] [evidence IEA],ATP binding [goid 5524] [evidence IEA]; transferase activity [goid 16740] [evidence IEA]; protein serine/threonine kinase activity [goid 4674] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA],15,38356636-38356685,15q15.1a,+,NM_020168.3,56924,PAK6,1.5151621489395977,6.991300018410561,13.801592305034243,1.8914957917880126e-26,5.840855071789133e-25,49.4872595838147
KSP37,ILMN_1761945,"Homo sapiens fibroblast growth factor binding protein 2 (FGFBP2), mRNA.",,,growth factor binding [goid 19838] [evidence IEA],4,15573160-15573178:15573179-15573209,4p15.32d,-,NM_031950.2,83888,KSP37,-2.7045917594966404,6.374990696740097,-13.783355377435395,2.084655131812019e-26,6.416983450767329e-25,49.390312375642296
ARMCX1,ILMN_1788192,"Homo sapiens armadillo repeat containing, X-linked 1 (ARMCX1), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,binding [goid 5488] [evidence IEA]; binding [goid 5488] [evidence IEA],X,100695454-100695503,Xq22.1c,+,NM_016608.1,51309,ARMCX1,-1.6816150864422958,7.038139745661827,-13.782915061979372,2.0895557635573804e-26,6.421923352194883e-25,49.38797128823609
LRRC32,ILMN_2129161,"Homo sapiens leucine rich repeat containing 32 (LRRC32), mRNA.",integral to plasma membrane [goid 5887] [pmid 8180135] [evidence TAS]; membrane [goid 16020] [evidence IEA],,transferase activity [goid 16740] [evidence IEA],11,76046296-76046345,11q13.5b,-,NM_005512.1,2615,LRRC32,-1.888891118048866,10.092283448062142,-13.777176446225429,2.1544925662806308e-26,6.611068921886313e-25,49.35745835328741
LOC400986,ILMN_1811117,"Homo sapiens protein immuno-reactive with anti-PTH polyclonal antibodies (LOC400986), mRNA.",integral to membrane [goid 16021] [evidence NAS]; integral to membrane [goid 16021] [evidence NAS],"di-, tri-valent inorganic anion homeostasis [goid 30319] [pmid 8608414] [evidence NAS]; di-, tri-valent inorganic anion homeostasis [goid 30319] [pmid 8608414] [evidence NAS]",ion channel inhibitor activity [goid 8200] [pmid 8608414] [evidence NAS]; ion channel inhibitor activity [goid 8200] [pmid 8608414] [evidence NAS],2,95943639-95943655:95943750-95943778:95945455-95945458,2q11.2a,-,NM_001010914.1,400986,LOC400986,3.051643024864278,7.364400473532982,13.774232062647293,2.1885925334998236e-26,6.70514552126479e-25,49.34180152757227
TUBB3,ILMN_1791726,"Homo sapiens tubulin, beta 3 (TUBB3), mRNA.",microtubule [goid 5874] [evidence IEA]; membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; protein complex [goid 43234] [evidence IEA]; cytoskeleton [goid 5856] [evidence NR ]; cytoplasm [goid 5737] [evidence IEA],signal transduction [goid 7165] [evidence IEA]; microtubule-based movement [goid 7018] [evidence IEA]; G-protein coupled receptor protein signaling pathway [goid 7186] [evidence IEA]; protein polymerization [goid 51258] [evidence IEA],GTPase activity [goid 3924] [evidence IEA]; melanocyte stimulating hormone receptor activity [goid 4980] [evidence IEA]; rhodopsin-like receptor activity [goid 1584] [evidence IEA]; structural molecule activity [goid 5198] [evidence IEA]; GTP binding [goid 5525] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; structural constituent of cytoskeleton [goid 5200] [evidence NR ]; receptor activity [goid 4872] [evidence IEA],16,88529862-88529911,16q24.3b,+,NM_006086.2,10381,TUBB3,3.101235177848113,8.411497778937669,13.764573464253804,2.3043001274246973e-26,7.048553843464713e-25,49.290436143682264
PTPNS1,ILMN_1758146,"Homo sapiens protein tyrosine phosphatase, non-receptor type substrate 1 (PTPNS1), mRNA.",plasma membrane [goid 5886] [pmid 9070220] [evidence TAS]; integral to membrane [goid 16021] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; plasma membrane [goid 5886] [pmid 9070220] [evidence TAS],cell adhesion [goid 7155] [pmid 9070220] [evidence TAS]; cell adhesion [goid 7155] [pmid 9070220] [evidence TAS],,20,1868371-1868420,20p13d,+,NM_080792.1,140885,PTPNS1,-1.450376102008164,9.532919963609727,-13.763368375788561,2.3191609681291417e-26,7.08289207899629e-25,49.28402676522368
BOP1,ILMN_1715583,"Homo sapiens block of proliferation 1 (BOP1), mRNA.",nucleus [goid 5634] [evidence IEA],rRNA processing [goid 6364] [evidence IEA],,8,,8q24.3g,-,NM_015201.3,23246,BOP1,1.2011040411312006,10.568961723413395,13.757803962989357,2.389036702769488e-26,7.28487952323372e-25,49.25443018248599
RAB8B,ILMN_2173004,"Homo sapiens RAB8B, member RAS oncogene family (RAB8B), mRNA.",intracellular [goid 5622] [evidence IEA]; membrane [goid 16020] [evidence IEA],"small GTPase mediated signal transduction [goid 7264] [evidence IEA]; regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; protein transport [goid 15031] [evidence NAS]",transcription factor binding [goid 8134] [evidence IEA]; GTP binding [goid 5525] [evidence IEA]; ATP binding [goid 5524] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; GTPase activity [goid 3924] [pmid 9030196] [evidence NAS],15,61346835-61346884,15q22.2b,+,NM_016530.2,51762,RAB8B,-1.3128315842557186,9.664305688729664,-13.75401054963948,2.4378799613476396e-26,7.422201726071681e-25,49.23425175759951
